sex,bp_type,20s,30s,40s,50s,60s,70s,bp_min
M,sbp,0,0,0,0,0,0,70
M,sbp,5,2,3,1,1,1,90
M,sbp,15,18,9,4,9,9,100
M,sbp,18,30,26,31,31,36,110
M,sbp,18,24,35,32,63,79,120
M,sbp,7,17,33,48,87,123,130
M,sbp,0,2,12,30,78,104,140
M,sbp,1,1,5,9,39,73,150
M,sbp,0,0,2,5,19,45,160
M,sbp,0,0,2,3,8,19,170
M,sbp,0,0,1,3,6,11,180
M,dbp,0,0,0,0,0,0,40
M,dbp,2,1,0,0,1,7,50
M,dbp,20,16,10,5,18,75,60
M,dbp,20,33,39,44,81,150,70
M,dbp,19,31,43,54,138,173,80
M,dbp,2,12,28,44,76,76,90
M,dbp,0,1,4,15,22,13,100
M,dbp,1,0,3,3,5,5,110
M,dbp,0,0,0,0,0,0,120
M,dbp,0,0,0,1,0,1,130
M,dbp,0,0,1,0,0,0,140
F,sbp,1,1,1,1,1,1,70
F,sbp,16,20,22,13,4,3,90
F,sbp,23,65,58,39,24,20,100
F,sbp,22,41,77,50,50,32,110
F,sbp,7,31,62,73,89,126,120
F,sbp,0,5,25,49,99,167,130
F,sbp,1,1,15,22,76,134,140
F,sbp,0,0,8,18,41,74,150
F,sbp,1,1,3,6,19,47,160
F,sbp,0,0,0,2,6,12,170
F,sbp,0,0,1,1,8,10,180
F,dbp,0,1,0,0,0,2,40
F,dbp,7,14,9,7,7,21,50
F,dbp,36,55,59,41,45,104,60
F,dbp,22,63,112,102,136,229,70
F,dbp,4,27,66,83,149,174,80
F,dbp,2,4,21,31,60,84,90
F,dbp,0,1,4,8,19,10,100
F,dbp,0,0,1,2,1,1,110
F,dbp,0,0,0,0,0,1,120
F,dbp,0,0,0,0,0,0,130
F,dbp,0,0,0,0,0,0,140
