alb,F,M
0,9.759403490483542e-05,9.734376670855749e-05
1,2.0293931653592168e-05,2.1585895878861727e-05
2,1.1334039839216992e-05,1.2959256976308176e-05
3,7.708660153871172e-06,9.500496411130044e-06
4,7.1252792261944364e-06,8.167033509032251e-06
5,6.791920376891802e-06,8.833762515148003e-06
6,5.541835579214727e-06,7.625319792148311e-06
7,4.500111378868965e-06,6.291884395048797e-06
8,4.166762155866088e-06,5.958528601857083e-06
9,4.833461824227392e-06,5.458497203902901e-06
10,5.875189844517514e-06,6.166875829327623e-06
11,5.750181851782443e-06,6.500232386574822e-06
12,6.00019800911511e-06,6.750250606701869e-06
13,5.833520494435973e-06,9.458825399377702e-06
14,6.125206345575229e-06,1.279256670194684e-05
15,9.000445530760182e-06,1.5834712320139666e-05
16,1.0750635646150641e-05,1.958544293823028e-05
17,1.0500606423824443e-05,2.3294650959182484e-05
18,1.0875650515163038e-05,2.8796226953731185e-05
19,1.2125808661167525e-05,3.2922627459242015e-05
20,1.4626176530363466e-05,4.0217227980754444e-05
21,1.725163681021158e-05,4.430245996644988e-05
22,1.9377064955139467e-05,4.0217227980754444e-05
23,2.0752368470544624e-05,4.046733894891297e-05
24,2.1669249040123795e-05,4.4761017873984343e-05
25,2.13358368539307e-05,4.471933069594147e-05
26,2.0377283630135246e-05,4.2760054889345867e-05
27,2.0752368470544624e-05,4.530295292870523e-05
28,2.129416041662946e-05,4.688708930578045e-05
29,2.3044587233789215e-05,4.7929299345828014e-05
30,2.4628335778209554e-05,4.82211202983418e-05
31,2.508679445378803e-05,4.892983222593017e-05
32,2.679561534146835e-05,5.2390093334353516e-05
33,3.004663156980225e-05,5.518341223564871e-05
34,3.325608214421738e-05,5.705957013124596e-05
35,3.596544680395386e-05,5.997811493674288e-05
36,3.938352972343573e-05,6.581548567063944e-05
37,4.209307701541487e-05,6.95265805390477e-05
38,4.401065159331807e-05,7.223702645775543e-05
39,4.563645302979591e-05,7.749135180667999e-05
40,5.184811602754191e-05,8.591558655957066e-05
41,6.102047507616781e-05,9.54667771991824e-05
42,6.364727564001083e-05,0.00010510240121752723
43,6.689961007966261e-05,0.00011348747661699132
44,7.394673391181161e-05,0.00012283294966664027
45,8.182848407778387e-05,0.00014110946384848777
46,9.01697047280825e-05,0.00015667660775775527
47,9.880367423398262e-05,0.00016961647752600229
48,0.0001111095408408147,0.00019107567668696923
49,0.0001222905521989226,0.00021629879967044463
50,0.00013176211163790086,0.00022933070480768425
51,0.00014081734454152173,0.0002448294090160452
52,0.000154965343549196,0.0002773393198622909
53,0.0001677797386681057,0.0003022519534515711
54,0.00017095231091734941,0.00032721323493456467
55,0.0001805959406407931,0.0003653582833229585
56,0.00019884231639732963,0.00040598865496055403
57,0.00021341699602173136,0.00044475298410717734
58,0.00023112691517457318,0.0004912417472273667
59,0.00024804645242815226,0.0005427002863487296
60,0.00026350656115081694,0.0005876875218293609
61,0.0002835668380704037,0.0006390748466734708
62,0.0003046348953631428,0.0007150974776056751
63,0.0003267114331088061,0.0007998425839427226
64,0.0003628482485744655,0.0008799966992382169
65,0.0003960699881552232,0.0009616533387393211
66,0.0004234431150933471,0.0010495794121939683
67,0.0004740255673089111,0.0011662011363356983
68,0.0005297071884010629,0.0013074865073990916
69,0.0005582525334903998,0.001357971708694783
70,0.000614237506315729,0.0014704592792528226
71,0.0006953615813206637,0.0016904622495446109
72,0.0007541199840129797,0.0018008978001173848
73,0.000848490134244817,0.001980940815544452
74,0.0009608532526773628,0.0022090597068902262
75,0.0010629843454564858,0.0024274821977070538
76,0.001196044928891915,0.002686766150028941
77,0.0013964252533974486,0.003032615996457433
78,0.0015955526329025638,0.0034215342004342286
79,0.0018380938561110005,0.0038787259633410454
80,0.0021361698653629135,0.004413402522371546
81,0.0024245293466594875,0.005006499463628189
82,0.0028354707986620875,0.005757888245887632
83,0.0033003363657201357,0.006524575679948907
84,0.003856637518781292,0.007469744727427341
85,0.004465779340405818,0.008521966323893682
86,0.005120481422291712,0.009682373302894343
87,0.0059222257724198535,0.010923451224787994
88,0.006995698146564866,0.012299795595799967
89,0.008393553700789091,0.014151539603780683
90,0.00978473124257373,0.01591809041558423
91,0.01121274483812773,0.017804823098335754
92,0.012850721200003079,0.020140839256616472
93,0.014750198342160181,0.02238837436762564
94,0.016908008639697436,0.025129108469543082
95,0.01938981240701987,0.028668285348786515
96,0.0214712455841638,0.031292675223014266
97,0.023992360025727133,0.034088680657099135
98,0.027661892027018742,0.03833815489366199
99,0.031471372470155634,0.04368174435993044
