sex,alb_min,alb_max,A00,C00,D50,E00,F00,G00,H00,H60,I00,J00,K00,L00,M00,N00,O00,P00,Q00,R00,S00
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052883225,0.0,0.0,0.0,0.0,0.0,0.015864968,0.0,0.0,0.0
M,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025813296,0.0,0.0,0.0,0.0,0.0,0.0,0.0012906648,0.0,0.0012906648
M,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009691981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009691981
M,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000937484
M,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084674987
M,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081346114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081346114
M,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080916914,0.0,0.0,0.00080916914,0.0,0.0,0.0,0.0,0.00080916914
M,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072100194,0.0,0.0,0.00072100194,0.0,0.0,0.0,0.0,0.00072100194
M,35.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065243815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065243815
M,40.0,44.0,0.0,0.0005449713,0.0,0.0,0.0,0.0,0.0,0.0,0.0005449713,0.0,0.0010899426,0.0,0.0005449713,0.0,0.0,0.0,0.0,0.0,0.0005449713
M,45.0,49.0,0.0,0.00054576993,0.0,0.0,0.00054576993,0.00054576993,0.0,0.0,0.00054576993,0.00054576993,0.0010915399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054576993
M,50.0,54.0,0.0,0.0012723977,0.0,0.0,0.0,0.0,0.0,0.0,0.0012723977,0.0,0.0019085968,0.0,0.00063619885,0.00063619885,0.0,0.0,0.0,0.0,0.00063619885
M,55.0,59.0,0.0,0.0027545092,0.0,0.0,0.0006886273,0.0006886273,0.0006886273,0.0,0.002065882,0.0006886273,0.0013772546,0.0,0.0006886273,0.0006886273,0.0,0.0,0.0,0.0,0.0006886273
M,60.0,64.0,0.0,0.0047439565,0.0,0.0,0.0,0.00067770807,0.00067770807,0.0,0.0027108323,0.00067770807,0.0027108323,0.0,0.00067770807,0.00067770807,0.0,0.0,0.0,0.0,0.00067770807
M,65.0,69.0,0.0,0.005977193,0.0,0.0005433812,0.0,0.0005433812,0.0010867624,0.0,0.0043470496,0.0005433812,0.0038036683,0.0,0.0010867624,0.0010867624,0.0,0.0,0.0,0.0,0.0010867624
M,70.0,74.0,0.0,0.00790261,0.0,0.0007184191,0.0,0.0007184191,0.0021552576,0.0,0.0050289338,0.0014368382,0.0043105152,0.0,0.0007184191,0.0007184191,0.0,0.0,0.0,0.0,0.0014368382
M,75.0,79.0,0.0008664483,0.009530931,0.0,0.0008664483,0.0008664483,0.0008664483,0.0025993453,0.0,0.006065138,0.0025993453,0.006065138,0.0,0.0008664483,0.0017328965,0.0,0.0,0.0,0.0,0.0017328965
M,80.0,84.0,0.0012086893,0.008460825,0.0,0.0012086893,0.0,0.0012086893,0.0024173786,0.0,0.007252137,0.0036260686,0.0060434467,0.0,0.0012086893,0.0024173786,0.0,0.0,0.0,0.0012086893,0.0036260686
M,85.0,130.0,0.0015620989,0.0062483954,0.0,0.0015620989,0.0,0.0015620989,0.0015620989,0.0,0.009372594,0.007810494,0.004686297,0.0,0.0015620989,0.0031241977,0.0,0.0,0.0,0.0,0.004686297
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005547113,0.0,0.0,0.0,0.0,0.0,0.01664134,0.0,0.0,0.0
F,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027059086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013529543
F,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010180175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089408195
F,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008624356,0.0,0.0,0.0,0.0008624356,0.0,0.0,0.0,0.0008624356
F,25.0,29.0,0.0,0.0008495089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008495089,0.0,0.0,0.0,0.0042475443,0.0,0.0,0.0,0.0
F,30.0,34.0,0.0,0.00074575027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074575027,0.0,0.0,0.00074575027,0.005966002,0.0,0.0,0.0,0.0
F,35.0,39.0,0.0,0.00067056145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067056145,0.0,0.0,0.0013411229,0.0026822458,0.0,0.0,0.0,0.0
F,40.0,44.0,0.0,0.0016791391,0.0,0.00055971293,0.0,0.0,0.0,0.0,0.0,0.0,0.00055971293,0.0,0.0,0.00055971293,0.00055971293,0.0,0.0,0.0,0.00055971293
F,45.0,49.0,0.0,0.0022283273,0.0,0.0,0.0,0.0,0.0,0.0,0.00055708183,0.0,0.00055708183,0.0,0.0,0.00055708183,0.0,0.0,0.0,0.0,0.0
F,50.0,54.0,0.0,0.00192741,0.0,0.0,0.0006424699,0.0,0.0,0.0,0.0006424699,0.0,0.0006424699,0.0,0.0006424699,0.0006424699,0.0,0.0,0.0,0.0,0.0006424699
F,55.0,59.0,0.00068500865,0.0020550261,0.0,0.0,0.0,0.0,0.00068500865,0.0,0.00068500865,0.0,0.00068500865,0.0,0.00068500865,0.0,0.0,0.0,0.0,0.0,0.00068500865
F,60.0,64.0,0.0,0.0026348084,0.0,0.0,0.0,0.0006587021,0.0006587021,0.0,0.0006587021,0.0,0.0013174042,0.0,0.0006587021,0.0006587021,0.0,0.0,0.0,0.0,0.0013174042
F,65.0,69.0,0.0,0.0030534568,0.0,0.0005089094,0.0,0.0005089094,0.0015267284,0.0,0.0015267284,0.0005089094,0.0015267284,0.0,0.0010178188,0.0005089094,0.0,0.0,0.0,0.0,0.0010178188
F,70.0,74.0,0.0,0.0037968105,0.0,0.0006328017,0.0006328017,0.0006328017,0.0025312067,0.0,0.0025312067,0.0006328017,0.0025312067,0.0,0.0018984053,0.0006328017,0.0,0.0,0.0,0.0,0.0012656034
F,75.0,79.0,0.0,0.0041937963,0.0,0.0006989659,0.0,0.0006989659,0.0034948296,0.0,0.0034948296,0.0013979318,0.0027958637,0.0,0.0020968982,0.0006989659,0.0,0.0,0.0,0.0,0.0027958637
F,80.0,84.0,0.00083109434,0.0041554715,0.0,0.00083109434,0.00083109434,0.0016621887,0.0024932832,0.0,0.0041554715,0.0016621887,0.0033243774,0.0,0.0016621887,0.0016621887,0.0,0.0,0.0,0.00083109434,0.0041554715
