sex,alb_min,alb_max,A00,C00,D50,E00,F00,G00,H00,H60,I00,J00,K00,L00,M00,N00,O00,P00,Q00,R00,S00
M,0.0,0.0,4.5,9.3,9.1,7.9,3.5,9.9,2.1,4.1,12.6,4.7,4.1,5.3,10.1,6.7,0.0,11.3,16.1,4.0,2.6
M,1.0,4.0,3.8,12.1,8.4,3.3,18.1,9.4,4.2,3.1,9.3,4.8,3.9,5.1,9.1,8.8,0.0,38.7,7.5,3.1,1.7
M,5.0,9.0,7.7,16.0,11.0,4.0,20.8,15.0,2.9,2.8,5.9,4.8,3.6,5.5,9.8,9.6,0.0,8.2,7.6,2.9,4.1
M,10.0,14.0,3.9,19.2,9.0,4.1,68.1,14.3,6.5,6.3,9.8,6.8,6.1,8.0,15.6,7.4,0.0,5.2,16.7,4.8,7.8
M,15.0,19.0,5.3,15.2,16.3,8.7,49.4,43.8,5.3,5.7,8.2,6.1,6.1,8.0,8.8,7.6,0.0,0.0,22.4,3.2,8.2
M,20.0,24.0,7.0,13.3,19.8,8.8,39.8,25.1,6.7,7.1,11.8,6.4,6.0,48.0,10.8,6.9,0.0,0.0,8.3,4.9,13.7
M,25.0,29.0,7.1,15.3,9.9,11.4,56.6,9.0,7.3,6.7,14.0,6.6,6.1,73.9,10.8,5.5,0.0,0.0,11.9,5.8,11.9
M,30.0,34.0,39.5,12.1,8.7,10.9,81.6,34.0,6.9,7.0,13.0,11.0,6.6,13.8,12.1,4.2,0.0,0.0,11.5,7.0,12.2
M,35.0,39.0,12.4,11.6,12.6,11.4,99.5,23.5,6.0,6.9,14.1,11.7,6.4,8.4,13.4,4.3,0.0,0.0,11.3,5.1,19.4
M,40.0,44.0,12.4,13.6,17.3,11.9,114.6,94.1,7.0,6.3,17.0,7.9,6.8,14.2,16.3,7.0,0.0,0.0,8.4,99.6,20.8
M,45.0,49.0,15.2,15.0,17.7,12.8,135.3,37.9,6.1,6.5,17.2,10.8,7.4,14.6,17.0,7.0,0.0,0.0,12.7,11.1,18.1
M,50.0,54.0,14.0,14.9,17.7,16.1,165.5,16.6,5.4,5.7,16.4,25.1,8.2,16.2,17.2,7.7,0.0,0.0,6.7,11.2,17.9
M,55.0,59.0,22.2,14.0,16.3,17.7,296.3,28.5,4.6,5.7,20.4,26.6,8.2,18.1,21.7,26.4,0.0,0.0,95.2,15.1,22.9
M,60.0,64.0,19.1,13.7,22.7,17.8,464.6,40.3,4.0,7.2,22.0,23.4,7.9,26.4,25.4,12.2,0.0,0.0,14.3,16.5,26.6
M,65.0,69.0,29.2,14.2,19.4,21.2,545.9,81.9,3.9,6.0,22.0,21.9,8.9,25.3,23.9,16.9,0.0,0.0,34.9,12.8,29.4
M,70.0,74.0,22.8,15.4,19.6,27.0,486.2,61.9,2.8,6.1,24.8,28.6,8.3,20.2,24.4,19.4,0.0,0.0,103.5,16.0,33.4
M,75.0,79.0,32.4,16.5,20.6,25.0,574.8,114.2,2.5,6.7,28.4,30.6,10.8,31.8,29.0,26.0,0.0,0.0,15.7,23.8,34.1
M,80.0,84.0,27.2,18.7,22.3,39.1,468.2,103.1,2.7,6.6,40.1,37.9,13.3,23.6,41.8,27.0,0.0,0.0,17.8,24.7,45.7
M,85.0,130.0,46.5,26.3,21.9,31.3,307.9,123.0,3.1,6.7,51.9,36.6,15.7,38.4,49.9,35.2,0.0,0.0,19.5,23.5,38.7
F,0.0,0.0,4.2,10.8,4.8,6.8,18.4,8.8,2.6,3.5,9.1,4.8,6.3,5.5,9.6,6.1,0.0,11.2,18.6,3.6,3.5
F,1.0,4.0,3.6,14.3,7.5,3.4,45.0,9.6,4.2,2.8,14.6,4.7,2.9,4.7,9.1,9.9,0.0,24.9,6.6,2.9,1.3
F,5.0,9.0,4.5,11.3,10.4,5.7,68.2,10.1,2.5,3.4,8.0,4.8,4.7,6.4,11.1,8.3,0.0,7.2,12.2,3.0,2.8
F,10.0,14.0,4.1,19.0,16.3,5.9,49.4,29.4,3.9,4.1,7.8,5.8,5.8,9.0,11.5,11.4,6.0,4.7,13.8,5.2,6.0
F,15.0,19.0,5.7,12.3,9.5,8.3,59.8,31.3,5.2,7.2,9.8,10.1,5.4,6.6,11.3,6.7,7.5,2.0,10.7,6.8,10.4
F,20.0,24.0,7.2,9.7,8.0,7.4,42.1,9.9,5.0,6.0,11.6,6.4,8.8,7.4,14.3,5.3,9.0,0.0,20.2,6.3,10.4
F,25.0,29.0,8.1,9.0,8.0,10.7,55.3,41.2,5.2,5.6,12.7,6.2,5.4,8.8,13.5,4.6,7.0,0.0,13.8,16.5,10.5
F,30.0,34.0,7.4,7.6,9.6,14.8,63.8,30.2,4.6,5.5,15.1,7.0,5.8,8.0,12.9,3.6,7.3,0.0,14.1,7.7,11.6
F,35.0,39.0,26.1,8.7,10.2,29.1,75.8,21.1,3.4,5.4,17.0,7.4,6.4,8.2,12.2,4.2,7.5,0.0,9.3,7.3,10.1
F,40.0,44.0,22.8,8.8,11.6,10.0,101.6,44.2,5.5,5.4,18.9,7.6,7.5,10.6,16.7,5.8,9.5,0.0,15.3,8.4,11.2
F,45.0,49.0,9.0,10.2,11.5,28.7,117.5,51.9,4.9,5.4,19.3,15.9,7.0,12.3,17.0,5.6,18.1,0.0,180.2,5.1,13.7
F,50.0,54.0,10.1,10.1,14.7,13.8,159.1,63.3,6.0,5.6,25.6,11.4,7.1,15.3,18.3,6.9,11.5,0.0,41.7,6.4,19.1
F,55.0,59.0,10.8,10.9,12.8,12.6,177.3,69.9,4.0,23.7,27.3,23.2,7.8,16.8,26.4,18.4,0.0,0.0,9.6,6.1,25.8
F,60.0,64.0,37.4,11.8,20.8,16.8,304.1,55.7,3.7,5.7,21.0,28.0,8.6,17.3,22.1,16.7,0.0,0.0,10.1,11.0,20.1
F,65.0,69.0,31.7,14.3,15.9,17.7,386.0,64.4,4.9,5.7,23.5,18.1,9.2,20.3,23.2,17.8,0.0,0.0,25.2,13.9,26.4
F,70.0,74.0,18.4,15.2,18.7,20.5,429.2,60.9,2.6,5.9,27.7,21.4,11.5,27.8,26.7,22.8,0.0,0.0,12.0,16.9,28.4
F,75.0,79.0,20.1,18.4,19.2,33.5,695.0,111.0,2.6,17.1,33.7,30.3,12.1,26.5,32.6,24.7,0.0,0.0,123.9,38.4,34.7
F,80.0,84.0,28.1,21.8,22.5,44.3,557.9,130.8,2.8,7.9,47.7,39.1,15.2,40.0,35.3,34.7,0.0,0.0,51.9,34.3,42.6
F,85.0,130.0,39.1,26.9,25.7,43.8,484.1,173.0,5.0,8.9,67.8,39.7,20.9,33.8,47.6,46.3,0.0,0.0,30.0,31.8,47.4
