sex,alb_min,alb_max,A00,C00,D50,E00,F00,G00,H00,H60,I00,J00,K00,L00,M00,N00,O00,P00,Q00,R00,S00
M,0.0,0.0,0.06874819,0.010576645,0.0052883225,0.0052883225,0.0052883225,0.0052883225,0.026441611,0.06874819,0.0,0.624022,0.052883223,0.312011,0.0052883225,0.010576645,0.0,0.052883223,0.06345987,0.04230658,0.037018254
M,1.0,4.0,0.10196252,0.0025813296,0.003871995,0.003871995,0.025813295,0.00774399,0.034847952,0.0877652,0.0012906648,0.8557109,0.09679986,0.14068246,0.010325318,0.010325318,0.0,0.0064533236,0.019359972,0.019359972,0.06453324
M,5.0,9.0,0.09207382,0.0048459903,0.0019383962,0.0038767925,0.043613914,0.007753585,0.046521515,0.037798725,0.0019383962,0.40124807,0.23357673,0.06881306,0.009691981,0.007753585,0.0,0.0009691981,0.0067843865,0.0145379715,0.066874675
M,10.0,14.0,0.051561616,0.003749936,0.001874968,0.0056249043,0.03187445,0.009374839,0.041249294,0.013124775,0.0046874196,0.2043715,0.10031079,0.04968665,0.042186778,0.0028124521,0.0,0.0,0.0056249043,0.011249809,0.105935685
M,15.0,19.0,0.019475246,0.0033869995,0.0016934997,0.00254025,0.025402496,0.010161,0.022015497,0.004233749,0.00254025,0.09060224,0.073667236,0.05334524,0.027095996,0.0033869995,0.0,0.0,0.00254025,0.0059272493,0.07028025
M,20.0,24.0,0.017896144,0.0040673055,0.00081346114,0.0048807673,0.032538444,0.009761535,0.018709606,0.0040673055,0.0032538446,0.055315353,0.10900379,0.046367284,0.015455762,0.0056942278,0.0,0.0,0.0016269223,0.0056942278,0.047180742
M,25.0,29.0,0.019420061,0.0048550153,0.00080916914,0.008091691,0.042885963,0.010519198,0.01861089,0.0048550153,0.0040458455,0.06473353,0.13351291,0.047740977,0.01699255,0.00890086,0.0,0.0,0.0016183383,0.0056641838,0.046931807
M,30.0,34.0,0.018025048,0.007210019,0.00072100194,0.012257032,0.05191214,0.010815029,0.018025048,0.005047013,0.007931021,0.07426319,0.16150442,0.043260116,0.031003084,0.010815029,0.0,0.0,0.002163006,0.005047013,0.046144124
M,35.0,39.0,0.018268269,0.009134134,0.0013048763,0.022835335,0.057414558,0.015658518,0.016963392,0.0058719437,0.018920705,0.06720113,0.15984735,0.03979873,0.03457922,0.015006077,0.0,0.0,0.00065243815,0.0071768197,0.047627985
M,40.0,44.0,0.019073997,0.011444397,0.0010899426,0.035968106,0.06539656,0.019073997,0.016894111,0.0059946845,0.037603024,0.062671706,0.18256539,0.038147993,0.053952157,0.022343824,0.0,0.0,0.0010899426,0.008719541,0.057766963
M,45.0,49.0,0.018010408,0.019101948,0.0010915399,0.05566853,0.06931278,0.019647717,0.025105415,0.006003469,0.063855074,0.054576993,0.18610753,0.03547504,0.07367893,0.037658125,0.0,0.0,0.0010915399,0.011461168,0.052939683
M,50.0,54.0,0.020358363,0.026720349,0.0012723977,0.07952485,0.07761626,0.023539357,0.031809945,0.0069981874,0.11515199,0.05980269,0.22139719,0.043897722,0.09161264,0.052168302,0.0,0.0,0.00063619885,0.009542983,0.0540769
M,55.0,59.0,0.01997019,0.039251756,0.002065882,0.10949174,0.070239976,0.024101954,0.040629007,0.011706663,0.1694023,0.05509018,0.23757641,0.036497246,0.1211984,0.07368312,0.0,0.0,0.0013772546,0.009640782,0.053712923
M,60.0,64.0,0.027108321,0.06641539,0.0033885401,0.13757472,0.05557206,0.03252999,0.058282897,0.012876454,0.24058636,0.062349137,0.2839597,0.047439564,0.17484868,0.09691225,0.0,0.0,0.00067770807,0.0135541605,0.05624977
M,65.0,69.0,0.033689633,0.1037858,0.002716906,0.17225184,0.05162121,0.03640654,0.08911451,0.020648485,0.3428735,0.07444322,0.34939414,0.057598405,0.20811498,0.12769458,0.0,0.0,0.0010867624,0.017931579,0.057055023
M,70.0,74.0,0.043823566,0.14224696,0.0035920953,0.20762312,0.03807621,0.04741566,0.13362595,0.0301736,0.45906982,0.09052081,0.44398302,0.06537614,0.3434043,0.15517853,0.0,0.0,0.0014368382,0.020834152,0.06393929
M,75.0,79.0,0.048521105,0.18195413,0.0051986906,0.22874235,0.038123723,0.06931586,0.18368703,0.033791482,0.5692565,0.11523762,0.46874854,0.07451456,0.48521104,0.18801929,0.0,0.0,0.0017328965,0.03032569,0.07278165
M,80.0,84.0,0.044721507,0.1933903,0.007252137,0.22119012,0.038678057,0.09306908,0.18613815,0.038678057,0.6526922,0.1353732,0.47622362,0.07977349,0.5547884,0.21393803,0.0,0.0,0.0012086893,0.032634612,0.085816935
M,85.0,130.0,0.042176668,0.15777199,0.009372594,0.16714458,0.04842506,0.12653,0.15933406,0.03436617,0.72793806,0.1296542,0.317106,0.08279124,0.44676024,0.18276556,0.0,0.0,0.0015620989,0.03436617,0.09841222
F,0.0,0.0,0.07765958,0.005547113,0.005547113,0.005547113,0.005547113,0.005547113,0.03882979,0.044376902,0.005547113,0.5990882,0.03328268,0.24407294,0.005547113,0.005547113,0.0,0.049924016,0.07211246,0.027735561,0.027735561
F,1.0,4.0,0.09335385,0.0027059086,0.0013529543,0.005411817,0.012176589,0.0040588635,0.03923567,0.08929498,0.0027059086,0.81447846,0.101471566,0.13123657,0.008117727,0.0040588635,0.0,0.0040588635,0.017588405,0.016235454,0.05817704
F,5.0,9.0,0.07126123,0.0050900877,0.0010180175,0.006108106,0.017306296,0.0071261227,0.060063034,0.03664863,0.002036035,0.36139622,0.232108,0.0753333,0.0071261227,0.006108106,0.0,0.0010180175,0.00814414,0.013234228,0.050900877
F,10.0,14.0,0.036387887,0.0039338255,0.0019669128,0.0068841944,0.015735302,0.009834563,0.04327208,0.009834563,0.005900739,0.19275744,0.119981684,0.054090098,0.034420975,0.0039338255,0.0,0.0,0.0049172817,0.007867651,0.06490812
F,15.0,19.0,0.025034294,0.0035763278,0.0035763278,0.010728984,0.026822457,0.011623065,0.04738634,0.0071526556,0.0044704094,0.10550167,0.09656085,0.066162065,0.020563884,0.014305311,0.0017881639,0.0,0.002682246,0.008046738,0.042915937
F,20.0,24.0,0.029322809,0.011211663,0.0051746145,0.018111147,0.039672036,0.014661404,0.038809605,0.008624356,0.0034497424,0.088830866,0.1500638,0.07416947,0.018973583,0.031910118,0.010349229,0.0,0.0025873072,0.010349229,0.033634987
F,25.0,29.0,0.03143183,0.016990177,0.0067960713,0.026334776,0.061164644,0.012742634,0.044174463,0.010194109,0.0042475443,0.09599451,0.21832378,0.08919843,0.02378625,0.07560629,0.028883303,0.0,0.0016990178,0.011043616,0.038227905
F,30.0,34.0,0.03430451,0.02684701,0.008949004,0.041016262,0.06711753,0.014169255,0.038779013,0.009694753,0.0067117526,0.12528603,0.21552183,0.07233778,0.032813013,0.11335404,0.039524764,0.0,0.0014915005,0.011932004,0.041016262
F,35.0,39.0,0.028834146,0.035539757,0.011399544,0.045598175,0.06839726,0.017434597,0.03755144,0.011399544,0.012740668,0.11600712,0.21726193,0.073091194,0.048950985,0.10796039,0.025481336,0.0,0.0013411229,0.016764037,0.046939302
F,40.0,44.0,0.023507942,0.047015883,0.010634546,0.045336753,0.077800095,0.023507942,0.03750077,0.012313684,0.02294823,0.10410661,0.2501917,0.06996412,0.06716555,0.09011378,0.0055971295,0.0,0.0011194259,0.016231675,0.05093388
F,45.0,49.0,0.02395452,0.07074939,0.013927045,0.045680705,0.07632021,0.022283273,0.046237793,0.014484127,0.046237793,0.09080432,0.31085163,0.064621486,0.094146825,0.077991456,0.00055708183,0.0,0.0016712457,0.016155371,0.05292277
F,50.0,54.0,0.028268676,0.07388404,0.008352108,0.07324157,0.07645392,0.024413858,0.056537353,0.016704217,0.0873759,0.085448496,0.31416777,0.06488946,0.15162289,0.08673343,0.0,0.0,0.0012849398,0.014776807,0.056537353
F,55.0,59.0,0.028770361,0.069870874,0.0041100523,0.11028639,0.06507582,0.027400345,0.078775994,0.017125217,0.14179681,0.089736134,0.36853465,0.06233579,0.19385746,0.073980935,0.0,0.0,0.0020550261,0.022605285,0.06713085
F,60.0,64.0,0.036228612,0.07838555,0.0032935103,0.15018408,0.06323541,0.030958995,0.092218295,0.01910236,0.20617375,0.08694868,0.38665813,0.055989675,0.27006787,0.06652892,0.0,0.0,0.0026348084,0.01910236,0.06455281
F,65.0,69.0,0.037659295,0.08651459,0.003562366,0.19694793,0.057506762,0.03511475,0.13486098,0.02544547,0.3028011,0.087023504,0.42493936,0.055471122,0.34351385,0.075827494,0.0,0.0,0.0020356376,0.023409832,0.068702765
F,70.0,74.0,0.045561723,0.095553055,0.0056952154,0.24489425,0.05631934,0.05125694,0.1917389,0.0379681,0.42903957,0.08859223,0.49928048,0.063280165,0.5283894,0.08289702,0.0,0.0,0.0012656034,0.026577668,0.081631415
F,75.0,79.0,0.044034854,0.093661435,0.0041937963,0.25791845,0.056616243,0.07618728,0.21947528,0.04752968,0.56686133,0.0922635,0.4676082,0.065003835,0.72902143,0.09156454,0.0,0.0,0.0013979318,0.030055538,0.10065109
F,80.0,84.0,0.044048,0.08477162,0.00581766,0.22522655,0.056514412,0.11469102,0.2052803,0.04820347,0.68897724,0.09557585,0.41388497,0.056514412,0.7114168,0.08310943,0.0,0.0,0.00083109434,0.032412678,0.09308256
F,85.0,130.0,0.03516643,0.057921182,0.0062058414,0.16411002,0.06412703,0.18272755,0.15307742,0.026891977,0.8026221,0.0689538,0.2923641,0.05309442,0.46336946,0.06688518,0.0,0.0,0.0006895379,0.027581517,0.09377715
